Num,Name,Location,Lat,Lon,Text
1,BAE Systems ,Samlesbury,53.77778,-2.57644,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
2,MBDA ,Bolton,53.53819,-2.45294,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
3,BAE Systems,Preston,53.74712,-2.88773,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
4,Elbit-Ferranti Tech,Oldham,53.5409,-2.1114,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
5,Northrop Grumman,Chester,53.19397,-2.92152,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
6,Thales Air Defence ,Belfast,54.58014,-5.8881,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
7,Leonardo,Edinburgh,55.96957,-3.23399,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
8,Thales Optronics,Glasgow,55.86755,-4.33347,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
9,Raytheon UK,Glenthroes,56.19805,-3.16903,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
10,Spirit Aerosystems,Prestwick,55.50927,-4.61051,"
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pharetra orci finibus lectus ultricies sodales. Fusce id blandit tortor. Integer malesuada orci quis enim pharetra condimentum ac et nunc. Nullam tristique sodales augue in bibendum. Praesent velit enim, fringilla vitae eros rutrum, ultricies pharetra sem. Nunc et varius dolor. Quisque at malesuada nibh.

Curabitur cursus nisi ac libero efficitur cursus. Mauris venenatis ligula luctus mauris egestas, in dictum ligula lacinia. Suspendisse ut ullamcorper velit. Suspendisse non convallis purus. Nulla tincidunt sagittis eleifend. Sed tincidunt ipsum augue, quis maximus dolor laoreet a. Quisque quis placerat magna, quis vestibulum eros. Curabitur tempor tellus sem, eu aliquam sem mattis hendrerit. Ut ut vulputate nisl. Vestibulum dictum ornare felis, a malesuada justo finibus sed. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas risus nibh, varius ac cursus vel, malesuada sed felis. Nulla ut nulla quis turpis sollicitudin elementum. Ut quis mollis nibh. Etiam non dapibus est.

Integer blandit nec ipsum a ultricies. Phasellus vel nulla sed nisl euismod sodales. In dictum pellentesque metus, mattis lobortis sapien pulvinar non. Proin sodales ligula quam, malesuada porta purus accumsan et. Quisque consequat mauris eget dictum imperdiet. Vivamus at massa mauris. Curabitur."
